scaffold_1	11058	37	56	28	24
scaffold_1	11347	48	49	36	44
scaffold_1	12987	41	55	71	49
scaffold_1	13977	55	54	43	38
scaffold_1	15355	52	66	45	47
scaffold_1	19585	29	44	24	39
scaffold_1	20603	32	31	63	48
scaffold_1	33364	27	28	36	52
scaffold_1	34133	31	34	40	74
scaffold_1	34690	38	40	31	51
scaffold_1	37213	27	29	50	56
scaffold_1	37876	23	41	30	40
scaffold_1	38750	43	51	42	53
scaffold_1	38952	18	28	34	56
scaffold_1	39124	0	42	0	39
scaffold_1	39978	50	37	28	33
scaffold_1	40758	36	34	36	42
scaffold_1	41770	62	50	35	29
scaffold_1	42144	44	39	42	41
scaffold_1	42409	67	55	27	38
scaffold_1	43203	28	29	36	39
scaffold_1	44734	34	27	39	64
scaffold_1	45329	33	30	48	61
scaffold_1	45686	47	45	51	84
scaffold_1	48188	39	36	69	65
scaffold_1	48536	48	38	39	27
scaffold_1	49102	54	28	37	50
scaffold_1	49760	65	45	39	41
scaffold_1	50319	43	42	47	42
scaffold_1	50737	46	35	44	33
scaffold_1	51076	36	23	32	39
scaffold_1	53422	29	59	40	53
scaffold_1	56252	42	44	32	37
scaffold_1	56684	53	32	43	30
scaffold_1	57146	36	37	44	34
scaffold_1	57609	39	47	37	47
scaffold_1	59017	44	37	42	60
scaffold_1	59623	33	44	48	41
scaffold_1	59829	54	53	49	49
scaffold_1	63724	38	33	33	49
scaffold_1	64464	35	41	52	47
scaffold_1	65209	40	38	47	39
scaffold_1	67727	43	37	60	58
scaffold_1	68082	30	35	50	63
scaffold_1	68725	36	32	39	41
scaffold_1	69989	36	48	64	89
scaffold_1	71391	48	33	34	39
scaffold_1	72302	33	33	41	48
scaffold_1	72515	50	31	44	30
scaffold_1	74592	41	42	70	40
scaffold_1	74748	38	30	53	46
scaffold_1	78107	17	41	26	41
scaffold_1	78446	40	41	37	26
scaffold_1	79419	36	46	41	43
scaffold_1	79684	57	57	55	55
scaffold_1	84781	29	24	37	24
scaffold_1	84970	38	46	47	44
scaffold_1	85546	24	44	69	49
scaffold_1	88611	46	56	29	32
scaffold_1	89296	46	53	44	28
scaffold_1	89502	49	45	46	37
scaffold_1	90353	38	40	39	58
scaffold_1	110907	54	51	62	29
scaffold_1	111868	63	51	42	53
scaffold_1	112640	36	44	56	39
scaffold_1	114138	56	63	37	34
scaffold_1	114513	54	41	38	41
scaffold_1	115948	21	37	56	55
scaffold_1	118565	41	45	40	32
scaffold_1	119185	27	31	35	41
scaffold_1	119776	33	42	54	62
scaffold_1	122419	29	31	35	52
scaffold_1	122626	57	59	39	29
scaffold_1	122840	41	41	43	42
scaffold_1	123274	53	67	46	39
scaffold_1	123565	56	50	34	53
scaffold_1	124021	44	50	54	36
scaffold_1	129344	31	46	45	55
scaffold_1	131623	49	45	59	39
scaffold_1	132775	47	53	45	36
scaffold_1	135594	57	54	65	38
scaffold_1	135748	43	44	38	30
scaffold_1	136552	42	43	46	47
scaffold_1	136707	39	46	53	51
scaffold_1	136914	27	23	53	73
scaffold_1	137228	34	40	53	48
scaffold_1	137604	48	42	58	56
scaffold_1	138154	46	43	28	49
scaffold_1	138422	40	31	32	54
scaffold_1	138623	47	38	56	56
scaffold_1	138777	38	46	49	43
scaffold_1	139476	35	43	54	10
scaffold_1	140119	37	30	16	23
scaffold_1	140373	35	31	54	41
scaffold_1	141257	26	29	38	37
scaffold_1	151134	47	47	42	39
scaffold_1	151354	51	31	68	66
scaffold_1	151755	38	42	55	46
scaffold_1	154055	57	64	49	38
scaffold_1	154216	54	58	23	31
scaffold_1	154525	45	33	34	38
scaffold_1	155056	27	36	27	52
scaffold_1	155272	58	32	48	30
scaffold_1	155431	47	45	56	38
scaffold_1	155626	45	45	45	55
scaffold_1	156906	44	47	27	37
scaffold_1	157530	47	45	42	42
scaffold_1	158470	41	44	32	42
scaffold_1	159081	51	62	57	54
scaffold_1	163454	0	10	0	47
scaffold_1	164065	87	34	92	64
scaffold_1	164456	30	33	54	48
scaffold_1	164803	21	33	54	45
scaffold_1	165087	20	16	36	45
scaffold_1	165289	22	10	43	46
scaffold_1	165517	39	38	38	39
scaffold_1	165774	33	29	58	53
scaffold_1	166313	59	49	51	44
scaffold_1	166506	54	58	52	51
scaffold_1	166838	63	45	38	41
scaffold_1	167012	63	36	45	47
scaffold_1	167214	57	67	52	53
scaffold_1	167483	55	44	46	43
scaffold_1	167717	51	55	41	58
scaffold_1	171837	50	45	30	34
scaffold_1	172405	41	39	54	35
scaffold_1	173065	51	41	50	38
scaffold_1	174002	49	56	50	56
scaffold_1	178476	46	52	38	29
scaffold_1	178824	35	34	37	47
scaffold_1	186138	26	46	39	48
scaffold_1	193697	44	43	53	75
scaffold_1	195969	0	46	0	40
scaffold_1	198211	36	24	49	45
scaffold_1	198614	47	73	46	29
scaffold_1	226928	21	25	35	36
scaffold_1	228868	33	37	39	39
scaffold_1	235339	44	58	39	52
scaffold_1	236935	45	32	46	62
scaffold_1	237120	36	46	70	62
scaffold_1	240490	49	35	65	47
scaffold_1	244795	43	42	43	38
scaffold_1	245064	38	52	42	53
scaffold_1	245289	45	40	44	37
scaffold_1	245442	36	35	47	32
scaffold_1	246986	32	36	58	33
scaffold_1	247271	45	55	44	46
scaffold_1	247424	30	55	19	54
scaffold_1	247639	62	39	42	35
scaffold_1	248080	37	30	31	37
scaffold_1	249622	49	30	60	43
scaffold_1	249841	67	45	49	46
